marca,modelo,ano_modelo,ano_fabr,quilometragem,cor,estado,cambio,motor,tipo_combustivel,preco
CHEVROLET,S10,2022.0,2021,10245.0,Branco,SP,AUTOMÁTICO,2.8,DIESEL,239900.0
CHEVROLET,TRACKER,2021.0,2020,181000.0,Azul,SP,AUTOMÁTICO,1.2,FLEX,109990.0
CHEVROLET,S10,2018.0,2017,133576.0,Branco,SP,AUTOMÁTICO,2.8,DIESEL,170000.0
CHEVROLET,SPIN,2014.0,2013,62250.0,Cinza,SP,AUTOMÁTICO,1.8,FLEX,53900.0
CHEVROLET,ONIX,2023.0,2022,0.0,Branco,SP,AUTOMÁTICO,1.0,FLEX,110640.0
CHEVROLET,S10,2017.0,2016,203000.0,Prata,SP,AUTOMÁTICO,2.8,DIESEL,149790.0
CHEVROLET,MONTANA,2019.0,2019,59719.0,Preto,SP,MANUAL,1.4,FLEX,58990.0
CHEVROLET,ONIX,2022.0,2021,6205.0,Vermelho,SP,AUTOMÁTICO,1.0,FLEX,88700.0
CHEVROLET,S10,2021.0,2020,75000.0,Prata,SP,MANUAL,2.8,DIESEL,157890.0
CHEVROLET,ONIX,2015.0,2014,72804.0,Branco,RJ,MANUAL,1.4,FLEX,46900.0
CHEVROLET,ONIX,2016.0,2016,79804.0,Prata,MG,AUTOMÁTICO,1.4,FLEX,60990.0
CHEVROLET,ONIX,2023.0,2022,12179.0,Preto,SP,MANUAL,1.0,FLEX,78990.0
CHEVROLET,TRACKER,2018.0,2018,88588.0,Branco,SP,AUTOMÁTICO,1.4,FLEX,85990.0
CHEVROLET,CRUZE,2014.0,2013,83646.0,Branco,SP,AUTOMÁTICO,1.8,FLEX,63770.0
CHEVROLET,ONIX,2020.0,2020,32264.0,Preto,SP,MANUAL,1.0,FLEX,71990.0
CHEVROLET,TRACKER,2023.0,2022,5106.0,Azul,RS,AUTOMÁTICO,1.2,FLEX,142990.0
CHEVROLET,SPIN,2019.0,2018,51416.0,Preto,SP,AUTOMÁTICO,1.8,FLEX,84990.0
CHEVROLET,CAPTIVA,2016.0,2015,82000.0,Prata,RS,AUTOMÁTICO,2.4,GASOLINA,75900.0
CHEVROLET,PRISMA,2019.0,2019,40843.0,Preto,SP,MANUAL,1.4,FLEX,67500.0
